_FILE,_LINE,GDN_ACCOUNT_NAME,_FIVETRAN_SYNCED
GDN_ACCOUNT_LOOKUP.csv,0,AEC_APAC-JP_GDN,2020-11-23 07:21:26.392 +0000
GDN_ACCOUNT_LOOKUP.csv,1,AEC_APAC-KR_GDN,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,2,D&M_APAC-JP_GDN,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,3,TNU JP,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,4,TNU KR,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,5,GDN_APAC-JP_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,6,GDN_APAC-KR_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,7,GDN_APAC-AU_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,8,AEC_APAC-AU_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,9,D&M_APAC-AU_GDN,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,10,GDN_APAC-NZ_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,11,AEC_APAC-NZ_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,12,D&M_APAC-NZ_GDN,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,13,GDN_APAC-SG_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,14,AEC_APAC-SG_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,15,D&M_APAC-SG_GDN,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,16,GDN_APAC-MY_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,17,AEC_APAC-MY_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,18,D&M_APAC-MY_GDN,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,19,GDN_APAC-IN_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,20,AEC_APAC-IN_GGL,2020-11-23 07:21:26.393 +0000
GDN_ACCOUNT_LOOKUP.csv,21,D&M_APAC-IN_GDN,2020-11-23 07:21:26.393 +0000